File,Code,Excel Name,Excel MRP,PDF Name,PDF MRP,Match Reason
10 Bed Room Set-3.xlsx,TFL-BED-204 LB,চারুলতা কিং বেড,19100.0,Bed (King),19100.0,Variant Name Match
10 Bed Room Set-3.xlsx,TFL-BST-204 LB,চারুলতা বেড সাইড টেবিল,4200.0,Bed Side Table,4200.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-205 LB,অম্বরী বেড,16300.0,Bed (Double),16300.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-205 LB,অম্বরী কিং বেড,18500.0,Bed (King),18500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BST-205 LB,অম্বরী বেড সাইড টেবিল,3000.0,Bed Side Table,3000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-206 LB,পুঞ্জিকা বেড,16500.0,Bed (Double),16500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-206 LB,পুঞ্জিকা কিং বেড,18900.0,Bed (King),18900.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BST-206 LB,পুঞ্জিকা বেড সাইড টেবিল,5250.0,NO MATCH IN PDF,,
10 Bed Room Set-3.xlsx,TFL-BED-401 WD,মিতালী বেড,28500.0,Bed (Double),28500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-401 WD,মিতালী কুইন বেড,30500.0,Bed (Queen),30500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-401 WD,মিতালী কিং বেড,32500.0,Bed (King),32500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-402 WD,রূপান্তর বেড,26500.0,Bed (Double),26500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-402 WD,রূপান্তর কুইন বেড,28500.0,Bed (Queen),28500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-402 WD,রূপান্তর কিং বেড,30500.0,Bed (King),30500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BST-402 WD,রূপান্তর বেড,9900.0,Bed,9900.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-403 WD,টেরাকোটা বেড,28000.0,Bed (Double),28000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-403 WD,টেরাকোটা কুইন বেড,30000.0,Bed (Queen),30000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-403 WD,টেরাকোটা কিং বেড,32000.0,Bed (King),32000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-404 WD,প্রবালিকা বেড,26000.0,Bed (Double),26000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-404 WD,প্রবালিকা কুইন বেড,27500.0,Bed (Queen),27500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-404 WD,প্রবালিকা কিং বেড,29500.0,Bed (King),29500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-405 WD,মুক্তালী বেড,27500.0,Bed (Double),27500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-405 WD,মুক্তালী কুইন বেড,29500.0,Bed (Queen),29500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-405 WD,মুক্তালী কিং বেড,31500.0,Bed (King),31500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BST-405 WD,মুক্তালী বেড সাইড টেবিল,10000.0,Bed Side Table,10000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-406 WD,জলরেখা বেড,30500.0,Bed (Double),30500.0,Variant Name Match
10 Bed Room Set-3.xlsx,TFL-BST-406 WD,জলরেখা বেড সাইড টেবিল,10000.0,Bed Side Table,10000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-407 WD,স্বর্ণালী বেড,30500.0,Bed (Double),30500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-407 WD,স্বর্ণালী কুইন বেড,32500.0,Bed (Queen),32500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BED-407 WD,স্বর্ণালী কিং বেড,34500.0,Bed (King),34500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-BST-407 WD,স্বর্ণালী বেড সাইড টেবিল,10000.0,Bed Side Table,10000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-DST-204 LB,চারুলতা ড্রেসিং টেবিল,10990.0,Dressing Table,10990.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-DST-205 LB,অম্বরী ড্রেসিং টেবিল,13500.0,Dressing Table,13500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-DST-206 LB,পুঞ্জিকা ড্রেসিং টেবিল,12700.0,Dressing Table,12700.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-DST-402 WD,রূপান্তর ড্রেসিং টেবিল,22000.0,Dressing Table,22000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-DST-405 WD,মুক্তালী ড্রেসিং টেবিল,23200.0,Dressing Table,23200.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-DST-406 WD,জলরেখা ড্রেসিং টেবিল,23500.0,Dressing Table,23500.0,Variant Name Match
10 Bed Room Set-3.xlsx,TFL-DST-407 WD,স্বর্ণালী ড্রেসিং টেবিল,22500.0,Dressing Table,22500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-CBD-206 LB,পুঞ্জিকা ২-ডোর কাপবোর্ড,19100.0,Cupboard (2 Door),19100.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-CBD-205 LB-2D,অম্বরী ২-ডোর কাপবোর্ড,17100.0,Cupboard (2 Door),17100.0,Variant Name Match
10 Bed Room Set-3.xlsx,TFL-CBD-205 LB-3D,অম্বরী ৩-ডোর কাপবোর্ড,22500.0,Cupboard (3 Door),22500.0,Variant + Closest Meas
10 Bed Room Set-3.xlsx,TFL-CBD-205 LB-3D,অম্বরী ৩-ডোর কাপবোর্ড,24500.0,Cupboard (3 Door),24500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-CBD-204 LB-2D,চারুলতা ২-ডোর কাপবোর্ড,17990.0,Cupboard (2 Door),17990.0,Variant Name Match
10 Bed Room Set-3.xlsx,TFL-CBD-204 LB-3D,চারুলতা ৩-ডোর কাপবোর্ড,22500.0,Cupboard (3 Door),22500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-CBD-402 WD,রূপান্তর ২-ডোর কাপবোর্ড,42990.0,Cupboard (2 Door),42990.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-CBD-405 WD,মুক্তালী ২-ডোর কাপবোর্ড,43990.0,Cupboard (2 Door),43990.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-CBD-406 WD,জলরেখা ৩-ডোর কাপবোর্ড,57500.0,Cupboard (2 Door),57500.0,Only 1 Option
10 Bed Room Set-3.xlsx,TFL-CBD-407 WD,স্বর্ণালী ২-ডোর কাপবোর্ড,44500.0,Cupboard (2 Door),44500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-WDR-402 WD,রূপান্তর ওয়ারড্রোব,42000.0,Wardrobe,42000.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-COD-405 WD,মুক্তালী চেস্ট অফ ড্রয়ার,32500.0,Chest of Drawer,32500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-WDR-407 WD,স্বর্ণালী ওয়ারড্রোব,43500.0,Wardrobe,43500.0,Measurement Match
10 Bed Room Set-3.xlsx,TFL-WDD-204 LB,চারুলতা ওয়ারড্রোব,19590.0,NO MATCH IN PDF,,
10 Bed Room Set-3.xlsx,TFL-COD-205 LB,অম্বরী ওয়ারড্রোব,13980.0,NO MATCH IN PDF,,
10 Bedroom Set.xlsx,TFL-BED-109 LB,বনলতা কিং বেড,16050.0,Bed (King),16050.0,Variant Name Match
10 Bedroom Set.xlsx,TFL-BST-109 LB,বনলতা বেড সাইড টেবিল,3900.0,Bed Side Table,3900.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-110 LB,শুভ্রা বেড,19300.0,Bed (Double),19300.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BST-110 LB,শুভ্রা বেড সাইড টেবিল,3990.0,Bed Side Table,3990.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-111 LB,বিপরীত বেড,15900.0,Bed (Double),15900.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BST-111 LB,বিপরীত বেড সাইড টেবিল,4990.0,Bed Side Table,4990.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-112 LB,কদম্বরী বেড,14500.0,Bed (Double),14500.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BST-112 LB,কদম্বরী বেড সাইড টেবিল,5250.0,Bed Side Table,5250.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-113 LB,দিগন্ত বেড,15500.0,Bed (Double),15500.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BST-113 LB,দিগন্ত বেড সাইড টেবিল,5500.0,Bed Side Table,5500.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-114 LB,রেখাচিত্র বেড,15500.0,Bed (Double),15500.0,Variant Name Match
10 Bedroom Set.xlsx,TFL-BST-114 LB,রেখাচিত্র বেড সাইড টেবিল,5590.0,Bed side table,5590.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-116 MT,অবয়ব বেড,22000.0,Bed (Double),22000.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BST-116 MT,অবয়ব বেড সাইড টেবিল,5900.0,NO MATCH IN PDF,,
10 Bedroom Set.xlsx,TFL-BED-201 LB,পদ্ম বেড,15600.0,LB Bed (Double),15600.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-201 LB,পদ্ম কিং বেড,18500.0,Bed (King),18500.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BST-201 LB,পদ্ম বেড সাইড টেবিল,4800.0,Bed Side Table,4800.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-202 LB,শিল্পিক বেড,13000.0,Bed (Double),13000.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-202 LB,শিল্পিক কিং বেড,17800.0,Bed (King),17800.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BST-202 LB,শিল্পিক বেড সাইড টেবিল,2900.0,Bed Side Table,2900.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-203 LB,অরণ্য বেড,14980.0,Bed (Double),14980.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BED-203 LB,অরণ্য কিং বেড,18500.0,Bed (King),18500.0,Measurement Match
10 Bedroom Set.xlsx,TFL-BST-203 LB,অরণ্য বেড সাইড টেবিল,4400.0,Bed Side Table,4400.0,Measurement Match
10 Bedroom Set.xlsx,TFL-DST-109 LB,বনলতা ড্রেসিং টেবিল,10900.0,Dressing Table,10900.0,Measurement Match
